Number of Reads,436670640
Reads With Valid Barcodes,0.608171
Sequencing Saturation,0.89848
Q30 Bases in CB+UMI,0.83865
Q30 Bases in RNA read,0.591365
Reads Mapped to Genome: Unique+Multiple,0.551566
Reads Mapped to Genome: Unique,0.551566
Reads Mapped to Transcriptome: Unique+Multipe Genes,0.303512
Reads Mapped to Transcriptome: Unique Genes,0.295338
Estimated Number of Cells,2377
Reads in Cells Mapped to Unique Genes,84715715
Fraction of Reads in Cells,0.656886
Mean Reads per Cell,35639
Median Reads per Cell,27523
UMIs in Cells,7397081
Mean UMI per Cell,3111
Median UMI per Cell,2310
Mean Genes per Cell,1720
Median Genes per Cell,1456
Total Genes Detected,22139
