Number of Reads,134789164
Reads With Valid Barcodes,0.416603
Sequencing Saturation,0.255584
Q30 Bases in CB+UMI,0.817862
Q30 Bases in RNA read,0.798391
Reads Mapped to Genome: Unique+Multiple,0.483215
Reads Mapped to Genome: Unique,0.483215
Reads Mapped to Transcriptome: Unique+Multipe Genes,0.284974
Reads Mapped to Transcriptome: Unique Genes,0.277531
Estimated Number of Cells,14249
Reads in Cells Mapped to Unique Genes,22663375
Fraction of Reads in Cells,0.605839
Mean Reads per Cell,1590
Median Reads per Cell,1343
UMIs in Cells,16585294
Mean UMI per Cell,1163
Median UMI per Cell,992
Mean Genes per Cell,861
Median Genes per Cell,775
Total Genes Detected,21013
