Number of Reads,131473567
Reads With Valid Barcodes,0.404533
Sequencing Saturation,0.248747
Q30 Bases in CB+UMI,0.821661
Q30 Bases in RNA read,0.796305
Reads Mapped to Genome: Unique+Multiple,0.485901
Reads Mapped to Genome: Unique,0.485901
Reads Mapped to Transcriptome: Unique+Multipe Genes,0.278873
Reads Mapped to Transcriptome: Unique Genes,0.271555
Estimated Number of Cells,13880
Reads in Cells Mapped to Unique Genes,19093006
Fraction of Reads in Cells,0.534784
Mean Reads per Cell,1375
Median Reads per Cell,1169
UMIs in Cells,14063877
Mean UMI per Cell,1013
Median UMI per Cell,869
Mean Genes per Cell,759
Median Genes per Cell,685
Total Genes Detected,20582
