Number of Reads,1428898458
Reads With Valid Barcodes,0.397455
Sequencing Saturation,0.728477
Q30 Bases in CB+UMI,0.792105
Q30 Bases in RNA read,0.760707
Reads Mapped to Genome: Unique+Multiple,0.478757
Reads Mapped to Genome: Unique,0.478757
Reads Mapped to Transcriptome: Unique+Multipe Genes,0.271843
Reads Mapped to Transcriptome: Unique Genes,0.264754
Estimated Number of Cells,13745
Reads in Cells Mapped to Unique Genes,198343219
Fraction of Reads in Cells,0.524293
Mean Reads per Cell,14430
Median Reads per Cell,12198
UMIs in Cells,49900670
Mean UMI per Cell,3630
Median UMI per Cell,3117
Mean Genes per Cell,2059
Median Genes per Cell,1905
Total Genes Detected,23758
