Number of Reads,1428898458
Reads With Valid Barcodes,0.397454
Sequencing Saturation,0.729305
Q30 Bases in CB+UMI,0.792105
Q30 Bases in RNA read,0.760707
Reads Mapped to Genome: Unique+Multiple,0.478757
Reads Mapped to Genome: Unique,0.478757
Reads Mapped to Transcriptome: Unique+Multipe GeneFulls,0.275512
Reads Mapped to Transcriptome: Unique GeneFulls,0.268125
Estimated Number of Cells,13701
Reads in Cells Mapped to Unique GeneFulls,199920523
Fraction of Reads in Cells,0.521817
Mean Reads per Cell,14591
Median Reads per Cell,12350
UMIs in Cells,50176085
Mean UMI per Cell,3662
Median UMI per Cell,3144
Mean GeneFulls per Cell,2076
Median GeneFulls per Cell,1921
Total GeneFulls Detected,24268
